"","SRN","MobileNo","OwnerGroupID","AreaID","SubAreaID","DATE_COMMITTED","CLOSED_DATE","SR_TYPE","CONNECTION_TYPE","STATUS","SUB_STATUS","NotResolvedOnTime","OwnerGroupRanges","closed_day","commited_day"
"332","ad0cadd5a1523ec0c03a0dbe7aa729cc395726faa58dbdd72f1ec72d7b9a65a8","033d6e5aed835ae708f72fca371c94c7eeadf77b9476440039e503979db13519","19","7","19",2018-09-11,2018-09-04,"A","B","X","7","0","2","Tuesday","Tuesday"
"333","2a8e5110a4c4cde34c7176cc5db780808922ac28d0f02ae8eb12acbc4720d45f","9286422013b114adbccdad9377ccddcbcfdc64c5cc24287d30d5c21c13e77074","19","7","19",2018-09-14,2018-09-07,"A","B","X","7","0","2","Friday","Friday"
"334","4f48419a2a73ecfc68dc347a70b368b6245e1502fa180e1f8e5c91f7d85d93d5","d23c0d0a2ae7ec69ee8da91fe4066996a68174a8cb98e415f0a8ffdd88401488","19","7","19",2018-10-01,2018-09-25,"A","B","X","7","0","2","Tuesday","Monday"
"335","4c4d248d35c3df9d9e4f440d90fce7146b380673986a4a6f390e185318ee9b3e","0d9685fc93f8e2266d4aa9f9257c4d37a08d4bc2487bfcc5403e94546e4b88da","19","7","19",2018-09-25,2018-09-20,"A","B","X","7","0","2","Thursday","Tuesday"
"336","25f0baa1bbae1bcfd877d27dba1e9bd75841be9158770dc7e68d28fba3f970a6","7820879e1aac98c208700f23e9f32ef9cd3b9e244f2e734b27707df7817eff36","15","8","15",2018-09-11,2018-09-12,"A","B","X","8","1","2","Wednesday","Tuesday"
"337","0bcb8b8254dc16614c9ad2d94a0d851615dfef0ca2f356ebe2b0f23aba8313c0","1df5aaf31bca3b7ae58471e9600c67f69f8e854e6d785c970060a332951c2187","19","7","19",2018-09-07,2018-09-03,"A","B","X","7","0","2","Monday","Friday"
"338","90a6d38562512d120082400bfe6246203d2c7af4dbcd362ec46d09128cdee652","8298feede0281a13348a4ba0b23941c72ff318bcc46c262cfa332301985ee596","19","7","19",2018-09-21,2018-09-18,"A","B","X","7","0","2","Tuesday","Friday"
"339","44d5f98c55ee26a976e0abf987b8e0e9f4aba2ee3bce336d23424033573fe303","df8320879baf3221a54b22a606f8a9c3455e5b3785ec8cdb322c440f4651ac9a","19","7","19",2018-09-14,2018-09-07,"A","B","X","7","0","2","Friday","Friday"
"340","72d61e53b3723ae9b8d0f6f82cc61b24235c61ba356d7da02e95f4aa10bcbed5","311daeb05d97b546bc665d2a8b660f7459183a34af64db93cfb34ec1cbfbae57","19","7","19",2018-09-21,2018-09-18,"A","B","X","7","0","2","Tuesday","Friday"
"341","8d214989fe14adbf445aa6c75e09e2eaf0b1979954ee01646f87d71d0193328a","417c39d9860ffcfa5692e3400d614ebddfb6c12759b0206a135374560145f1b7","19","7","19",2018-09-19,2018-09-14,"A","B","X","7","0","2","Friday","Wednesday"
